"name","latitude","longitude"
"Hack HRO","54.08732","12.12449"
"Public Research Association of Social Hacktivity","10.803868","78.686512"
"SHL // Sophia Hack Lab","43.597837","7.056341"
"∕dev/hack","47.66235","-122.31298"
"Sector67","43.098303","-89.344972"
"Makerspace Azerbaijan","40.370643","49.841427"
"FOULAB","45.479194","-73.589889"
"The Bodgery","43.108669","-89.355695"
"Chaostreff Backnang","48.94862","9.42957"
"Decentrala","44.80554","20.477125"
"York Hackspace","53.962","-1.071111"
"MakerLab.dk","55.302316","10.472856"
"Hackerspace Brussels","50.855484","4.320809"
"UrLab","50.811717","4.383021"
"Hackalot","51.428623","5.458322"
"MadLab","51.428882","5.458322"
"HackBo","4.63132","-74.06589"
"MAKE NTNU","63.415764","10.406068"
"Makerspace Nanaimo","49.193473","-123.98305"
"Hack.rva","37.57797","-77.48404"
"Fablab Neckar-Alb","48.515782","9.062849"
"HUB+SPOKE","48.514748","9.062775"
"Hedron Hackerspace","45.495493","-122.64528"
"Surrey and Hampshire Makerspace","51.239781","-0.572979"
"BricoLabs","43.377638","-8.406531"
"House4Hack","-25.840714","28.209476"
"Berea Makerspace","37.571564","-84.318024"
"Omaha Maker Group","41.215031","-96.044219"
"Urban Workshop","33.666495","-117.880859"
"SpaceLab1","41.5323","-87.884885"
"Cloyne","37.875833","-122.257222"
"Cory Student Workshop and Supernode","37.875091","-122.257808"
"The CITRIS Invention Lab","37.874758","-122.258662"
"Open Labs","41.32137","19.82913"
"FizzPOP","52.47647","-1.887021"
"Quelab","35.103119","-106.65242"
"MAKER's EDGe","31.545992","-97.143581"
"APT Data Dungeon","-7.10157","-34.85442"
"Hackerspace.gr","37.999084","23.706492"
"Hacklab Kyiv","50.47824","30.492236"
"Attraktor","53.549844","9.946661"
"DimSumLabs","22.285196","114.150859"
"Makerspace YK","62.44578","-114.392019"
"MakerSpace Charlotte","35.191052","-80.892639"
"TinkerSpace","10.046923","76.335212"
"Chaostreff Chemnitz","50.8306","12.9396"
"Fablabc","50.83194","12.940556"
"FabLab Chemnitz","50.83194","12.940556"
"FabLab Chemnitz (Projekt des Stadtfabrikanten e.V.)","50.831297","12.939913"
"Maakplek","53.23087","6.58355"
"NYBI.CC","48.694032","6.199773"
"NYBI","48.693708","6.200008"
"Fablab Lazio - Rieti","42.410061","12.907536"
"Lorraine Fab Living Lab","48.693708","6.200008"
"STELLAMLab","10.993405","-74.796715"
"Boundary County Library Fab Lab","48.696298","-116.310507"
"HackerLabKolding","55.486321","9.480276"
"Coredump","47.225088","8.833887"
"FarsetLabs","54.592813","-5.94068"
"C3RE","51.624689","7.170051"
"Spacetime.community","40.636498","22.951215"
"Nerdberg Hackspace","49.470608","11.003405"
"Nerdberg e.V","49.47049","11.003351"
"Dezentrale","51.336536","12.338291"
"Section77","48.47712","7.946145"
"HAUM","47.993437","0.185302"
"HAUM - Hackerspace Au Mans","47.9938","0.185292"
"Garoa Hacker Clube","-23.569557","-46.699388"
"KIKA","41.995747","21.423159"
"TOG","53.33013","-6.3462"
"Tog Hackerspace","53.330147","-6.346163"
"Makespace","52.201595","0.116455"
"Breizh Entropy","48.113901","-1.636761"
"Chaos Computer Club Basel","47.531949","7.63436"
"ZTL","49.193425","8.128649"
"ZTL - Makerspace Südpfalz","49.19366","8.12865"
"AKASHA Hub Barcelona","41.410905","2.191059"
"Akasha Hub","41.410798","2.191193"
"Codinglab","46.176492","8.813272"
"MechArtLab","47.38698","8.52017"
"CCCZH","47.38698","8.52017"
"ZWZ - Bitwäscherei","47.386996","8.520439"
"KOLab","50.363343","7.557844"
"KoLab Makerspace","50.362498","7.557564"
"Nottinghack","52.955798","-1.135969"
"Nottingham Hackspace","52.9558","-1.13499"
"Hackerspace Gent","51.074491","3.724589"
"B4CKSP4CE","59.9938","30.30939"
"MAKERoanoke","37.269517","-79.951388"
"Kuckucksmühle","53.103492","12.404635"
"AwesomeSpace","52.213739","5.145334"
"TAKT","50.091895","14.483129"
"GreekLUG","40.596404","22.985711"
"Foothills Community Workshop","35.8014","-81.43064"
"CBI Maker Space","35.981815","-85.003948"
"Cumberland Business Incubator Maker Space","35.981043","-85.003944"
"HackLab Terni","42.5619","12.6499"
"Bytewerk","48.770729","11.381235"
"Maketory","32.893062","-117.146062"
"Hackafe","42.15012","24.745285"
"LAG","52.354281","4.854301"
"Otelo Linz","48.249811","14.308389"
"Hackstub","48.57817","7.72829"
"The Skiff","50.827073","-0.136553"
"Hsmty","25.679863","-100.307536"
"Idea Fab Labs Santa Cruz","36.9596","-122.054207"
"Idea Fab Labs","36.959515","-122.054367"
"Crash Space","34.019446","-118.40543"
"Make South Bend","41.665662","-86.213848"
"Vienna OpenLab","48.188776","16.400224"
"PiNG","47.228517","-1.583687"
"Bozeman Makerspace","45.699913","-111.021571"
"Chaihuo","22.344477","113.561181"
"Offene Werkstatt Norderstedt e.V.","53.689439","10.028474"
"Westwoodlabs","50.462966","7.724622"
"Chaos inKL.","49.440527","7.762289"
"Skövde Makerspace","58.39427","13.867828"
