0,name,brand,class_1,lab,city,county,country_code
2091,replicator,makerbot industries,three_d_printer,LAB01,Ambérieu-en-Bugey,,FR
2092,digitizer,makerbot industries,scanner,LAB01,Ambérieu-en-Bugey,,FR
2100,ultimaker s5,ultimaker,three_d_printer,Fablab Vichy Communauté,Vichy,Allier,FR
2101,"trotec laser engraving, cutting & marking machine",trotec,laser,Fablab Vichy Communauté,Vichy,Allier,FR
2102,dji mavic,dji,other,Fablab Vichy Communauté,Vichy,Allier,FR
2103,einscan-se scanner 3d,shining3d,scanner,Fablab Vichy Communauté,Vichy,Allier,FR
2104,vive,htc,other,Fablab Vichy Communauté,Vichy,Allier,FR
2105,moverio smart glasses bt 300,epson,other,Fablab Vichy Communauté,Vichy,Allier,FR
2126,replicator 2x,makerbot industries,three_d_printer,SenartLab,Lieusaint,,FR
2127,m200,zortrax,three_d_printer,SenartLab,Lieusaint,,FR
2128,innov-is nv800e,brother,other,SenartLab,Lieusaint,,FR
2129,i3 mk3s+,original prusa,three_d_printer,SenartLab,Lieusaint,,FR
2130,open maker machine pro xl,mon-fablab.fr,cnc_milling,SenartLab,Lieusaint,,FR
2131,mini,original prusa,three_d_printer,SenartLab,Lieusaint,,FR
2132,techodrill 3,cif,precision_milling,SenartLab,Lieusaint,,FR
2133,u20,alfawise,three_d_printer,SenartLab,Lieusaint,,FR
2140,othermill,other machine co,precision_milling,La Charbonnerie,Marseille,,FR
2145,shopbot desktop,"shopbot tools, inc",cnc_milling,FabLab By Pop Place Valenciennes,Anzin,,FR
2146,m200,zortrax,three_d_printer,FabLab By Pop Place Valenciennes,Anzin,,FR
2147,innov-is nv800e,brother,other,FabLab By Pop Place Valenciennes,Anzin,,FR
2148,ce6000-40,graphtec corp,vinyl_cutting,FabLab By Pop Place Valenciennes,Anzin,,FR
2151,up plus 2,ebpp3dp,three_d_printer,RuTech FabLab MJC Rodez,Rodez,,FR
2166,k40 laser engraver & cutter,unknown,laser,FabLac,Anthy-sur-Léman,,FR
2167,cr10s5,creality,three_d_printer,FabLac,Anthy-sur-Léman,,FR
2168,k40 laser engraver & cutter,unknown,laser,Fab Lab Fayoum,Fayoum,Fayoum,EG
2183,legend helix 24,epilog laser,laser,FAB LAB Château Thierry,Château-Thierry,Picardie,FR
2184,sls-2 3d scanner,david,scanner,FAB LAB Château Thierry,Château-Thierry,Picardie,FR
2185,form 2,formlabs,three_d_printer,FAB LAB Château Thierry,Château-Thierry,Picardie,FR
2186,ce 6000-60,graphtec corp,vinyl_cutting,FAB LAB Château Thierry,Château-Thierry,Picardie,FR
2187,k3x,sieg,cnc_milling,FAB LAB Château Thierry,Château-Thierry,Picardie,FR
2188,kc4x380-s,sieg,cnc_milling,FAB LAB Château Thierry,Château-Thierry,Picardie,FR
2195,form 2,formlabs,three_d_printer,FougeresLab,Fougères,,FR
2210,micro delta,emotion tech,three_d_printer,Humanlab Saint-Pierre,Palavas-les-Flots,,FR
2211,the 3-in-1 3d printer,snapmaker,laser,Humanlab Saint-Pierre,Palavas-les-Flots,,FR
2230,carmine 1.09,primesense,other,Fabriques Alternatives,Coudures,,FR
